"";"cohort";"mean";"sd";"log_sd"
"1";1996;28,132;6,817;0,23887349141391
"2";1997;102,568;16,234;0,157297468542724
"3";1998;50,822;10,598;0,20631659732341
"4";1999;41,274;8,75;0,209672197353175
"5";2000;23,755;5,917;0,24534557111756
"6";2001;59,836;8,845;0,147022623030932
"7";2002;65,682;8,616;0,130618380901293
"8";2003;127,925;13,413;0,10456402995587
"9";2004;109,169;15,173;0,138322068562954
"10";2005;94,044;12,553;0,132891191889572
"11";2006;88,11;13,391;0,151113677570864
"12";2007;119,939;16,674;0,138355906205561
"13";2008;68,948;10,815;0,155905152975831
"14";2009;221,533;20,26;0,0912632806613902
"15";2010;152,245;22,397;0,146324820164075
"16";2011;108,192;16,589;0,152439376652076
"17";2012;140,156;15,508;0,110311695957715
"18";2013;176,075;20,481;0,115929147916057
"19";2014;86,99;12,467;0,142587500860663
"20";2015;143,217;12,885;0,0897871056585561
"21";2016;153,899;27,587;0,177838513470738
"22";2017;47,223;8,594;0,180507201147244
"23";2018;46,305;14,093;0,297636572290778
"24";2019;41,37;8,525;0,203928528202815
