index;stage;cohort;mean;sd
1;Smolt;1996;2043,731;281,09
2;Smolt;1997;10002,156;272,26
3;Smolt;1998;4922,62;357,35
4;Smolt;1999;2631,096;212,51
5;Smolt;2000;3079,007;250,05
6;Smolt;2001;11832,582;713,81
7;Smolt;2002;1271,074;81,69
8;Smolt;2003;10160,129;211,25
9;Smolt;2004;7898,599;168,14
10;Smolt;2005;10795,169;252,62
11;Smolt;2006;7246,258;421,37
12;Smolt;2007;7583,905;282,02
13;Smolt;2008;10491,227;621,24
14;Smolt;2009;13742,31;629,21
15;Smolt;2010;10619,92;456,28
16;Smolt;2011;8919,113;682,23
17;Smolt;2012;8326,448;806,93
18;Smolt;2013;8494,899;1248,8
19;Smolt;2014;10292,4;554,79
20;Smolt;2015;6659,236;511,59
21;Smolt;2016;9791,068;372,38
22;Smolt;2017;6285,959;439,9
23;Smolt;2018;5211,74;490,42
24;Smolt;2019;5278,488;279,39
25;1SW;1996;459,09;31,965
26;1SW;1997;577,252;27,463
27;1SW;1998;261,611;21,86
28;1SW;1999;308,874;39,884
29;1SW;2000;318,253;20,003
30;1SW;2001;592,938;37,873
31;1SW;2002;226,918;20,363
32;1SW;2003;1117,213;40,35
33;1SW;2004;452,103;20,339
34;1SW;2005;891,666;38,572
35;1SW;2006;481,924;30,343
36;1SW;2007;291,171;22,727
37;1SW;2008;271,582;23,559
38;1SW;2009;768,394;33,885
39;1SW;2010;388,96;21,114
40;1SW;2011;391,269;38,059
41;1SW;2012;612,021;36,149
42;1SW;2013;688,292;41,003
43;1SW;2014;604,396;33,413
44;1SW;2015;624,758;33,968
45;1SW;2016;956,274;29,921
46;1SW;2017;305,183;27,275
47;1SW;2018;234,776;21,757
48;1SW;2019;446,558;36,474
49;2SW;1996;28,132;6,817
50;2SW;1997;102,568;16,234
51;2SW;1998;50,822;10,598
52;2SW;1999;41,274;8,75
53;2SW;2000;23,755;5,917
54;2SW;2001;59,836;8,845
55;2SW;2002;65,682;8,616
56;2SW;2003;127,925;13,413
57;2SW;2004;109,169;15,173
58;2SW;2005;94,044;12,553
59;2SW;2006;88,11;13,391
60;2SW;2007;119,939;16,674
61;2SW;2008;68,948;10,815
62;2SW;2009;221,533;20,26
63;2SW;2010;152,245;22,397
64;2SW;2011;108,192;16,589
65;2SW;2012;140,156;15,508
66;2SW;2013;176,075;20,481
67;2SW;2014;86,99;12,467
68;2SW;2015;143,217;12,885
69;2SW;2016;153,899;27,587
70;2SW;2017;47,223;8,594
71;2SW;2018;46,305;14,093
72;2SW;2019;41,37;8,525
