index;stage;cohort;sexe;age;migration;end1sum
1;Smolt;1996;NA;2FW;NA;NA
2;Smolt;1996;M;2FW;1,232469408;NA
3;Smolt;1996;NA;1FW;NA;NA
4;Smolt;1996;F;2FW;1,246923873;NA
5;Smolt;1996;NA;2FW;NA;NA
6;Smolt;1996;NA;1FW;NA;NA
7;Smolt;1996;M;2FW;1,385414407;NA
8;Smolt;1996;NA;2FW;NA;NA
9;Smolt;1996;NA;2FW;NA;NA
10;Smolt;1996;F;1FW;1,12110169;NA
11;Smolt;1996;NA;Other;NA;NA
12;Smolt;1996;NA;1FW;NA;NA
13;Smolt;1996;NA;1FW;NA;NA
14;Smolt;1996;NA;2FW;NA;NA
15;Smolt;1996;NA;1FW;1,006764167;NA
16;Smolt;1996;M;2FW;1,010774221;NA
17;Smolt;1996;NA;Other;NA;NA
18;Smolt;1996;F;1FW;NA;NA
19;Smolt;1996;NA;Other;NA;NA
20;Smolt;1996;NA;1FW;NA;NA
21;Smolt;1996;NA;1FW;NA;NA
22;Smolt;1996;F;2FW;1,415408477;NA
23;Smolt;1996;M;1FW;1,118618629;NA
24;Smolt;1996;NA;1FW;NA;NA
25;Smolt;1996;NA;1FW;NA;NA
26;Smolt;1996;F;1FW;0,948852954;NA
27;Smolt;1996;NA;1FW;NA;NA
28;Smolt;1996;NA;1FW;NA;NA
29;Smolt;1996;NA;Other;NA;NA
30;Smolt;1996;NA;Other;NA;NA
31;Smolt;1996;NA;Other;NA;NA
32;Smolt;1996;NA;1FW;NA;NA
33;Smolt;1996;F;1FW;1,256842153;NA
34;Smolt;1996;NA;1FW;NA;NA
35;Smolt;1996;NA;1FW;NA;NA
36;Smolt;1996;NA;2FW;NA;NA
37;Smolt;1996;NA;1FW;NA;NA
38;Smolt;1996;NA;Other;NA;NA
39;Smolt;1996;NA;1FW;NA;NA
40;Smolt;1996;F;1FW;NA;NA
41;Smolt;1996;NA;1FW;NA;NA
42;Smolt;1996;M;2FW;1,277016495;NA
43;Smolt;1996;NA;1FW;NA;NA
44;Smolt;1996;NA;1FW;NA;NA
45;Smolt;1996;F;1FW;1,328146563;NA
46;Smolt;1996;NA;1FW;NA;NA
47;Smolt;1996;NA;Other;NA;NA
48;Smolt;1996;NA;Other;NA;NA
49;Smolt;1996;NA;Other;NA;NA
50;Smolt;1996;NA;1FW;NA;NA
51;Smolt;1996;M;1FW;1,052796157;NA
52;Smolt;1996;NA;Other;NA;NA
53;Smolt;1996;NA;1FW;NA;NA
54;Smolt;1996;NA;2FW;NA;NA
55;Smolt;1996;NA;1FW;NA;NA
56;Smolt;1996;NA;1FW;NA;NA
57;Smolt;1996;M;2FW;1,380959698;NA
58;Smolt;1996;NA;1FW;NA;NA
59;Smolt;1996;NA;1FW;NA;NA
60;Smolt;1996;NA;1FW;NA;NA
61;Smolt;1996;NA;1FW;NA;NA
62;Smolt;1996;NA;1FW;NA;NA
63;Smolt;1996;NA;1FW;NA;NA
64;Smolt;1996;F;1FW;0,687510043;NA
65;Smolt;1996;NA;1FW;NA;NA
66;Smolt;1996;NA;1FW;NA;NA
67;Smolt;1996;NA;1FW;NA;NA
68;Smolt;1996;NA;1FW;NA;NA
69;Smolt;1996;NA;1FW;NA;NA
70;Smolt;1996;NA;1FW;NA;NA
71;Smolt;1996;NA;1FW;NA;NA
72;Smolt;1996;NA;1FW;NA;NA
73;Smolt;1996;NA;Other;NA;NA
74;Smolt;1996;NA;Other;NA;NA
75;Smolt;1996;NA;Other;NA;NA
76;Smolt;1996;NA;1FW;NA;NA
77;Smolt;1996;NA;1FW;NA;NA
78;Smolt;1996;NA;1FW;NA;NA
79;Smolt;1996;NA;1FW;NA;NA
80;Smolt;1996;NA;1FW;NA;NA
81;Smolt;1996;NA;2FW;NA;NA
82;Smolt;1996;NA;1FW;NA;NA
83;Smolt;1996;NA;1FW;NA;NA
84;Smolt;1996;NA;1FW;NA;NA
85;Smolt;1996;M;2FW;1,220590185;NA
86;Smolt;1996;NA;1FW;NA;NA
87;Smolt;1996;M;1FW;1,220590185;NA
88;Smolt;1996;F;1FW;NA;NA
89;Smolt;1996;NA;1FW;NA;NA
90;Smolt;1996;NA;1FW;NA;NA
91;Smolt;1996;NA;1FW;NA;NA
92;Smolt;1996;NA;1FW;NA;NA
93;Smolt;1996;NA;1FW;NA;NA
