"";"X1996";"X1997";"X1998";"X1999";"X2000";"X2001";"X2002";"X2003";"X2004";"X2005";"X2006";"X2007";"X2008";"X2009";"X2010";"X2011";"X2012";"X2013";"X2014";"X2015";"X2016";"X2017";"X2018";"X2019"
"1";2,554254963;3,40442487;2,913798183;3,632884625;2,711555122;2,842638588;3,131022213;2,868855281;3,355736725;2,816421895;2,999938747;2,745262299;3,134767454;2,910052942;2,333285692;2,585950357;2,498389961;2,805186169;2,936269635;2,543019237;3,434386805;2,823912378;2,763988508;2,52803827
"2";2,737771815;2,786459959;2,925033909;3,374462935;2,438152465;3,164729389;3,351991483;3,239634227;2,999938747;2,93911062;2,898817216;3,018664956;2,559682238;2,838893346;2,539273995;2,588869037;2,576726414;3,082334068;2,4681144;2,535528753;2,265871338;2,6291598;2,4681144;3,033645924
"3";3,286433524;3,366972451;2,82765762;2,981212537;2,996193505;3,198436566;2,973722054;2,943760118;2,775224234;3,134767454;2,76773375;2,543019237;2,94750536;2,556763558;2,786459959;2,599197865;2,865110039;2,872600523;2,917543425;2,419426255;2,842638588;2,801440927;2,917543425;2,692828912
"4";3,22465326;3,393189144;3,366972451;2,543019237;3,097315036;3,112296003;3,535508336;2,722790847;3,389443902;2,52803827;3,093569794;2,440016364;3,089824552;2,928779151;2,984957779;3,374462935;2,831119465;2,297001051;2,677847945;2,479350125;2,280852306;2,831402862;2,913798183;2,84638383
"5";3,501801159;3,449367772;3,153493664;2,925033909;2,838893346;2,565490688;3,438132047;3,168474631;2,921288667;2,853874313;3,213417534;2,801733595;2,640395526;3,093569794;2,726536089;2,689083671;2,632905042;2,550509721;2,464369158;2,842520293;2,602943107;2,378228594;2,546764479;2,370738111
"6";2,883836248;3,239634227;3,370717693;3,535508336;2,825282105;2,999938747;2,595452624;2,84638383;2,685338429;3,00742923;2,674102703;2,823912378;2,969976812;2,805186169;2,498076335;2,820167136;2,369968047;2,659121736;2,58796214;2,82765762;2,786459959;2,817859286;2,426916739;3,235888985
"7";3,108550761;3,542998819;2,891326732;2,816421895;3,273341404;2,719045606;3,138512696;2,617924075;3,164729389;3,669142452;3,183455599;2,722790847;2,543019237;3,011174472;2,498076335;2,973722054;2,812676653;2,778969476;2,692828912;2,880091006;2,655376494;2,75476518;2,490585851;2,996193505
"8";3,27489806;3,018664956;3,127276971;3,449367772;2,453133432;3,048626891;2,554254963;2,651631252;3,449367772;2,400700046;3,104805519;2,820167136;2,786459959;2,901167782;2,602943107;2,756498024;2,322049966;2,157259323;2,26961658;2,378724087;2,902562458;2,52803827;2,666612219;3,048626891
"9";3,307048581;2,977467295;2,88758149;3,288322372;3,270853675;3,22465326;2,936269635;2,520547786;2,988703021;2,72604699;2,962486328;2,374483353;2,790205201;2,782714718;2,681593187;2,730281331;2,621669317;2,539273995;2,498076335;2,951250602;2,760243266;3,00742923;2,235909403;2,917543425
"10";3,074843584;3,351991483;3,310793823;2,692828912;3,134767454;2,857619555;3,351991483;3,134767454;2,670357461;3,340755758;2,737771815;3,307048581;2,910052942;3,089824552;2,936269635;2,940014877;2,883836248;3,074843584;2,711555122;2,426916739;3,029900682;2,775224234;2,9063077;3,157238906
