"";"X1996";"X1997";"X1998";"X1999";"X2000";"X2001";"X2002";"X2003";"X2004";"X2005";"X2006";"X2007";"X2008";"X2009";"X2010";"X2011";"X2012";"X2013";"X2014";"X2015";"X2016";"X2017";"X2018";"X2019"
"1";2,786459959;2,754820997;2,745482621;2,79684369;2,775224234;2,782714718;2,161004565;2,629737586;2,778276667;3,137694424;2,872600523;2,801512878;2,440668337;3,02096472;2,891326732;2,526030779;2,638258833;2,241210303;2,890227453;2,636650284;2,843535571;2,752752783;2,187221259;2,712798304
"2";2,14782654;2,621669317;2,614745353;2,754820997;3,025633909;2,554254963;2,829528007;2,782836126;2,666106423;3,475584466;2,619426625;2,778166938;2,377927929;3,34780789;2,730281331;2,801512878;2,64742967;2,771478992;2,554045907;2,868855281;2,241210303;2,370738111;2,763988508;2,26961658
"3";2,6291598;3,179717117;2,526030779;2,778166938;3,168474631;2,96623157;3,291777632;2,988280404;2,591399412;2,512023214;3,198436566;2,258380854;2,558000205;3,016295532;2,307068999;2,685899158;2,22253355;2,628752917;2,719045606;2,749007541;2,708129116;2,962486328;1,966251988;2,981212537
"4";2,712798304;2,885558265;2,960265275;3,170378741;2,838893346;2,475604883;2,549376719;2,792174502;3,37115383;3,076994978;2,99761878;2,84820476;2,84638383;2,393209562;2,681593187;2,393209562;2,741517057;2,885558265;2,265871338;2,782836126;2,698790739;2,749007541;2,700319396;2,614178833
"5";3,254424127;3,114348483;2,763988508;3,030303097;3,408507335;2,471859641;2,715300364;3,016295532;2,936919334;3,175047929;2,759490185;3,056117375;2,456878674;2,941588522;2,614178833;2,063628276;2,254635612;2,241210303;2,644140768;2,717467492;2,642760482;2,14976884;2,086099728;3,408170112
"6";2,205947468;2,913573393;3,058318225;2,964934463;2,228418919;3,291777632;3,114348483;3,492552722;2,698790739;2,94625771;2,778166938;2,262126096;3,101060277;2,815520443;2,26961658;2,712798304;2,340776176;2,198456984;2,385719078;2,558000205;2,726805868;2,33193527;2,339263253;2,441897706
"7";3,861418584;3,193724681;3,329131137;3,501891098;2,430661981;3,142257938;2,84820476;2,9063077;2,84820476;2,731475056;2,426916739;2,434407223;3,464537593;2,843535571;2,516802544;2,602943107;2,438152465;2,853874313;2,472134294;2,366992869;2,399962699;3,02615544;2,625414559;2,880091006
"8";2,726536089;2,932524393;2,815520443;2,898817216;2,992448263;2,876219888;3,007540177;2,872600523;2,92169778;2,829528007;2,960265275;2,734026573;2,438152465;2,6291598;2,50931206;2,918242582;2,303323757;2,927580958;2,08984497;2,606688349;2,726805868;2,730281331;2,801512878;2,277107064
"9";2,610076165;2,680113987;2,925033909;3,37115383;2,782836126;2,838866383;3,151701988;2,572981172;3,016295532;2,550509721;2,632905042;2,340776176;2,243399887;2,470000521;2,763988508;2,852873948;2,352011901;2,468112718;2,698790739;2,810851255;2,610076165;2,719045606;2,255217867;2,464369158
"10";2,115142223;2,656768046;2,70780988;2,247145129;2,325795208;2,638091294;2,64788601;2,829528007;2,77349775;3,172219873;2,265871338;2,554254963;2,52803827;2,621669317;2,632905042;2,591707382;2,808931411;2,704064638;2,295833273;2,723926473;2,936919334;3,123531729;2,644140768;2,307068999
"11";3,025633909;2,810851255;2,778166938;2,52803827;2,38946432;2,750151809;3,184386305;2,876219888;3,478545157;2,460662145;2,58796214;2,8715507;2,279350039;3,142363612;2,339263253;2,756498024;3,359481967;2,568053472;2,606688349;2,456878674;2,642760482;2,644140768;2,385719078;2,666612219
"12";3,291777632;2,72213668;3,063607859;3,187200841;2,430661981;2,786459959;3,109679295;2,79684369;3,189055493;3,156371176;2,617924075;2,32954045;2,540038343;2,580471656;2,734026573;2,453133432;2,895071974;2,198456984;2,70780988;2,876219888;2,79684369;3,250869953;2,58796214;2,265871338
"13";2,614178833;2,754820997;2,677924078;2,964934463;2,194711742;3,198393869;2,596068601;3,091002542;2,84820476;3,08607931;2,782836126;2,471859641;2,625414559;3,039641473;2,283232996;2,415681013;2,426916739;2,22253355;2,530699967;2,862212324;2,526030779;2,299578515;2,374483353;2,617924075
"14";2,921288667;2,843535571;2,501821577;2,8715507;2,842638588;2,64788601;2,736144244;3,095671731;2,698790739;3,198393869;2,475604883;3,07232579;2,430661981;2,110473035;3,02096472;2,385719078;2,393209562;2,498076335;2,475604883;3,076994978;2,460662145;2,558000205;2,606688349;2,352011901
"15";NA;2,838866383;2,754820997;2,810851255;NA;2,273361822;2,94625771;2,685338429;2,712798304;2,726536089;2,228418919;3,212401434;2,647286333;2,311248125;2,378228594;2,549376719;2,652098858;2,393209562;2,651631252;2,239654645;2,787505314;2,325795208;2,311248125;NA
"16";NA;2,84820476;2,675444799;3,212401434;NA;2,614178833;2,8715507;2,526030779;2,292088031;2,741517057;2,719045606;2,513057302;2,14976884;2,82765762;2,651631252;2,535369155;2,426916739;2,374483353;2,591707382;2,432647016;2,866881512;2,812676653;NA;NA
"17";NA;3,095671731;2,745262299;2,58796214;NA;2,576726414;2,662866977;2,596068601;2,969603651;2,745482621;2,584216898;2,460662145;2,078609244;2,835148104;2,483095367;2,411935771;2,685338429;2,561745447;2,352011901;2,656768046;3,193724681;2,787505314;NA;NA
"18";NA;2,759490185;2,549376719;2,572981172;NA;2,007449648;2,322049966;2,92291177;2,561745447;2,99761878;2,677847945;2,324321019;2,427977828;2,960265275;2,09259142;2,866881512;2,932250146;2,6291598;2,280852306;2,596068601;2,464115321;2,974272839;NA;NA
"19";NA;3,100340919;2,928779151;NA;NA;2,42330864;3,022410198;2,969603651;2,992448263;2,530699967;2,670592073;2,378228594;2,516692402;2,689083671;2,408190529;2,399962699;2,638091294;2,460662145;2,79684369;2,561745447;2,315917313;2,563384284;NA;NA
"20";NA;2,453133432;2,787505314;NA;NA;2,704064638;2,6291598;2,988280404;3,039641473;NA;2,115142223;2,694121551;2,172240291;2,666612219;2,25089037;2,38946432;2,750151809;2,726536089;2,880889077;2,224673677;2,558715096;2,56923593;NA;NA
"21";NA;2,198456984;2,516692402;NA;NA;2,771478992;2,287902184;3,034972285;2,670357461;NA;2,52803827;2,340776176;2,471859641;2,577391848;2,561745447;2,153514082;2,026175858;2,367825979;2,962486328;2,759490185;2,554045907;2,659121736;NA;NA
"22";NA;2,530699967;2,793950443;NA;NA;2,9063077;2,213195174;2,642760482;NA;NA;2,99761878;2,759490185;2,550509721;2,84820476;2,82765762;2,453133432;2,287902184;2,363247627;2,786459959;2,329924877;2,52136159;2,524293028;NA;NA
"23";NA;3,00742923;2,561745447;NA;NA;2,778969476;2,498076335;3,49722191;NA;NA;3,02096472;2,427977828;2,670357461;2,988280404;2,876219888;NA;2,283232996;2,554254963;2,790205201;3,062987414;2,815223685;2,880889077;NA;NA
"24";NA;2,659121736;2,838893346;NA;NA;2,531783512;2,526030779;2,983611215;NA;NA;NA;2,843535571;2,677847945;2,820189631;2,441985392;NA;2,610433591;2,520547786;2,76773375;2,913798183;2,549376719;2,595452624;NA;NA
"25";NA;2,359502385;2,554254963;NA;NA;2,576726414;2,704064638;2,652098858;NA;NA;NA;2,301909748;NA;2,526030779;2,213437952;NA;2,355757143;2,318304724;2,79108684;2,652098858;2,670775611;2,483095367;NA;NA
"26";NA;2,445868296;3,277770068;NA;NA;2,824858819;2,674102703;2,694121551;NA;NA;NA;NA;NA;2,806182066;2,322049966;NA;2,582061036;2,52803827;2,752752783;2,99761878;2,736144244;2,44938819;NA;NA
"27";NA;NA;2,838893346;NA;NA;NA;NA;2,988280404;NA;NA;NA;NA;NA;2,974272839;2,119806905;NA;2,374483353;2,6291598;2,014940132;1,767754168;2,703459928;2,172240291;NA;NA
"28";NA;NA;2,853874313;NA;NA;NA;NA;2,79684369;NA;NA;NA;NA;NA;2,904235017;1,962506746;NA;2,254635612;2,79684369;2,698790739;2,661437234;2,255217867;2,333285692;NA;NA
"29";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2,580471656;2,202202226;NA;2,531783512;1,895092392;NA;2,241210303;2,404631887;2,715300364;NA;NA
"30";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2,741517057;2,531783512;NA;NA;NA;NA;NA;2,689452363;2,404445288;NA;NA
"31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2,764159373;NA;NA;NA
