"Parameter";"Rhat";"zchain1";"zchain2";"zchain3";"zchain4";"zchain5";"zchain6";"Effective"
"Alpha1[1, 1]";1,00004512013301;-0,763793865908132;0,692190089672961;0,158818687161502;0,95486587186901;-0,388357486619346;0,635297265265281;23681,9237924306
"Alpha1[1, 2]";1,00001481562778;-0,829536556525854;0,33393519721007;-0,449938574371685;1,29161897773318;-0,200267547647277;-2,62193591424067;30018,9293434182
"Alpha1[2, 1]";1,00000896954446;-2,02369987003316;-0,610632043277361;0,833772613758365;-0,178881750680997;0,220362659074025;-0,913734134592502;27698,7594747271
"Alpha1[2, 2]";1,0000623514628;2,15045256708811;-0,823797232873336;-0,334376939813149;-0,422208321238225;0,289302325955919;-0,0759654545837007;30369,3988920934
"Alpha1[3, 1]";0,99996680763574;-0,567301106928781;-1,06513557546561;-0,0300722287210973;-1,42701946856882;0,851921596457997;-0,855965237549083;30505,3558545642
"Alpha1[3, 2]";0,999976878624277;-1,25959042118878;0,43851455754094;0,484740444614679;0,596574711258276;-1,36719172088217;1,39323649647267;25991,7574269911
"Alpha1[4, 1]";1,00008917819835;-1,07059406100222;1,83498793155946;2,05422596748616;0,15122519335073;-1,23655391893291;1,0541714801188;30094,5772366826
"Alpha1[4, 2]";0,999949240920914;0,734151994752592;-0,679111695056585;1,1890913775011;0,842599485640794;0,627914423820265;-0,975515575091353;28055,6639805268
"Alpha1[5, 1]";1,00002312747146;-0,479237558031511;1,12972360867719;0,728015980295941;0,0543724771843325;1,40697212266114;1,73092071496614;30030,9366089663
"Alpha1[5, 2]";1,00015118533957;-0,460033519833443;-0,75758095902844;-1,82305007083239;-0,583884605302482;-0,647378194979381;-0,713225081851709;30127,2069393517
"Alpha1[6, 1]";1,0001696253664;-0,496219747091752;1,09654659293923;0,404132139270017;-1,15739009265111;-0,472728839604027;-0,229828692281255;21357,1409649197
"Alpha1[6, 2]";1,00006028780782;0,173263133015962;-1,40500917947468;0,653723123274456;-0,30734857859504;0,139728503487345;-1,11414358668763;30225,1368473944
"Alpha1[7, 1]";1,00016559045773;0,442838253045;-0,749773282696123;-0,927224437691082;-2,06556628901904;0,924665544146468;-1,60030772065999;14935,2498119912
"Alpha1[7, 2]";1,00006905358603;-1,69285733549828;0,749547414552567;-0,417111512959341;0,506750193479723;0,163994813374771;1,08804772679722;25207,7161730136
