"Parameter";"Mean";"SD";"Naive SE";"Time-series SE";"2.5%";"25%";"50%";"75%";"97.5%"
"Alpha1[1]";-1,13145081245744;0,207389503539165;0,0011973638569544;0,00119215694063659;-1,5236793721632;-1,27328884237835;-1,13549469491378;-0,995913336679164;-0,708614683606471
"Alpha1[2]";-2,43499866552161;0,0785014708031613;0,000453228452999867;0,000453231136795807;-2,59070331616185;-2,48763230859907;-2,43400032794937;-2,38216362982358;-2,28186228630114
"Alpha1[3]";-2,44927734766119;0,122428048421342;0,000706838667124223;0,000699784876888515;-2,6885567777035;-2,53142333723027;-2,45045207096617;-2,36755091195514;-2,20720728384451
"Alpha1[4]";-1,6751451387406;0,165062169932502;0,000952986882435536;0,000953011871941332;-1,98950078341222;-1,78857419054928;-1,67784870366352;-1,56490531034553;-1,34200396330032
"Alpha1[5]";-1,82123680976814;0,127294398012404;0,000734934549587926;0,000744393712468291;-2,07060020006315;-1,90721670964404;-1,82295431187487;-1,73545037718544;-1,56878082197276
"Alpha1[6]";-2,5822421847307;0,101468047436476;0,000585826045015952;0,000585603599143119;-2,78077622116009;-2,65032525546561;-2,58280854833771;-2,51370992508645;-2,38167608963611
"Alpha1[7]";-0,955248553228138;0,146022982364055;0,00084306408175759;0,00084312664328225;-1,23390899805439;-1,05436417948625;-0,957416753020903;-0,860518756800371;-0,660857008789731
"Alpha1[8]";-1,79751510851523;0,0667152683608875;0,000385180781472165;0,000383698754965293;-1,93061142046778;-1,84232908755984;-1,79719810830197;-1,75198273232017;-1,66918607177064
"Alpha1[9]";-2,27765429720455;0,0713488089035933;0,000411932540268487;0,000415967968149999;-2,41776391160777;-2,32509761963278;-2,27818864934116;-2,23012405967542;-2,13684831310721
"Alpha1[10]";-2,09314040857436;0,0731757649535656;0,000422480475940979;0,000431104695941088;-2,23911738728981;-2,14170579697568;-2,09244956324129;-2,04385856542802;-1,95172173806981
"Alpha1[11]";-2,13590901857709;0,101131781976628;0,00058388461547833;0,000577209240776573;-2,33218545701068;-2,2040929204533;-2,13623493398981;-2,06821357727721;-1,9352956481272
