"";"year";"Smolts";"1SW";"2SW"
"1";1996;0,4458;0,448633333333333;0,396566666666667
"2";1997;0,498;0,498033333333333;0,5035
"3";1998;0,502866666666667;0,505933333333333;0,535633333333333
"4";1999;0,5013;0,489366666666667;0,536833333333333
"5";2000;0,505;0,495933333333333;0,3774
"6";2001;0,495866666666667;0,499466666666667;0,422333333333333
"7";2002;0,4743;0,512566666666667;0,436133333333333
"8";2003;0,502066666666667;0,502033333333333;0,512533333333333
"9";2004;0,498733333333333;0,4898;0,423166666666667
"10";2005;0,5005;0,495833333333333;0,493866666666667
"11";2006;0,503633333333333;0,5056;0,531233333333333
"12";2007;0,495766666666667;0,4728;0,461766666666667
"13";2008;0,493066666666667;0,492733333333333;0,517666666666667
"14";2009;0,498466666666667;0,494666666666667;0,496066666666667
"15";2010;0,4991;0,499033333333333;0,524733333333333
"16";2011;0,5006;0,4998;0,5252
"17";2012;0,507;0,505133333333333;0,516433333333333
"18";2013;0,509666666666667;0,498833333333333;0,514066666666667
"19";2014;0,499733333333333;0,498566666666667;0,428766666666667
"20";2015;0,505633333333333;0,497633333333333;0,5079
"21";2016;0,4993;0,4978;0,502466666666667
"22";2017;0,5011;0,510233333333333;0,518133333333333
"23";2018;0,502933333333333;0,510066666666667;0,578166666666667
"24";2019;0,506833333333333;0,497266666666667;0,486933333333333
