"";"year";"Smolt";"Surviving smolt";"Post-smolt";"Maturing post-smolt";"Non-maturing post-smolt"
"1";1996;0,416866666666667;0,583833333333333;0,515666666666667;0,418033333333333;0,675266666666667
"2";1997;0,6581;0,506433333333333;0,5765;0,0808333333333333;0,5027
"3";1998;0,135933333333333;0,1931;0,545733333333333;0,103733333333333;0,5567
"4";1999;0,450566666666667;0,377566666666667;0,558666666666667;0,704233333333333;0,282366666666667
"5";2000;0,0717;0,217033333333333;0,497633333333333;0,629866666666667;0,6806
"6";2001;0,126633333333333;0,3386;0,396266666666667;0,0524;0,504933333333333
"7";2002;0,585566666666667;0,461466666666667;0,605;0,109766666666667;0,509833333333333
"8";2003;0,2078;0,5435;0,5078;0,6977;0,428733333333333
"9";2004;0,0904;0,275933333333333;0,609966666666667;0,350533333333333;0,6033
"10";2005;0,533433333333333;0,418266666666667;0,5317;0,6941;0,302766666666667
"11";2006;0,2097;0,441533333333333;0,529433333333333;0,140466666666667;0,5587
"12";2007;0,149733333333333;0,199533333333333;0,608166666666667;0,5554;0,676466666666667
"13";2008;0,554233333333333;0,412633333333333;0,5256;0,3203;0,571933333333333
"14";2009;0,657633333333333;0,573933333333333;0,5792;0,7088;0,454433333333333
"15";2010;0,575633333333333;0,369833333333333;0,555733333333333;0,718133333333333;0,634166666666667
"16";2011;0,262466666666667;0,504333333333333;0,589133333333333;0,3716;0,5253
"17";2012;0,490966666666667;0,557366666666667;0,385866666666667;0,6794;0,599733333333333
"18";2013;0,653066666666667;0,462566666666667;0,468433333333333;0,485666666666667;0,380633333333333
"19";2014;0,6035;0,544033333333333;0,4043;0,5652;0,367466666666667
"20";2015;0,0501666666666667;0,110833333333333;0,495466666666667;0,208966666666667;0,123433333333333
"21";2016;0,6107;0,5016;0,4887;0,679333333333333;0,5871
"22";2017;0,445166666666667;0,5314;0,475833333333333;0,5217;0,663233333333333
"23";2018;0,571366666666667;0,571633333333333;0,589966666666667;0,283866666666667;0,1521
"24";2019;0,539733333333333;0,595033333333333;0,533466666666667;0,643533333333333;0,7208
