"";"year";"Smolts";"1SW";"2SW"
"1";1996;0,662933333333333;0,4148;0,453266666666667
"2";1997;0,652366666666667;0,683933333333333;0,373166666666667
"3";1998;0,555333333333333;0,501733333333333;0,715333333333333
"4";1999;0,4037;0,5535;0,9051
"5";2000;0,554666666666667;0,477966666666667;0,3892
"6";2001;0,226833333333333;0,9183;0,644833333333333
"7";2002;0,618033333333333;0,5939;0,6838
"8";2003;0,6594;0,4607;0,513766666666667
"9";2004;0,841066666666667;0,463333333333333;0,548233333333333
"10";2005;0,175066666666667;0,680733333333333;0,516966666666667
"11";2006;0,278;0,6066;0,8619
"12";2007;0,6683;0,424966666666667;0,7118
"13";2008;0,4594;0,6422;0,582933333333333
"14";2009;0,2533;0,710733333333333;0,748133333333333
"15";2010;0,0428;0,8948;0,7633
"16";2011;0,3461;0,659133333333333;0,7375
"17";2012;0,763166666666667;0,235266666666667;0,5616
"18";2013;0,673933333333333;0,476533333333333;0,5051
"19";2014;0,380366666666667;0,524433333333333;0,593866666666667
"20";2015;0,515733333333333;0,536433333333333;0,540633333333333
"21";2016;0,4289;0,595866666666667;0,452766666666667
"22";2017;0,8226;0,1771;0,7716
"23";2018;0,4218;0,788566666666667;0,923633333333333
"24";2019;0,8164;0,00323333333333333;0,733
