"";"year";"Smolt";"Surviving smolt";"Post-smolt";"Maturing post-smolt";"Non-maturing post-smolt"
"1";1996;0,7741;0,709433333333333;0,3069;0,0719333333333333;0,214133333333333
"2";1997;0,6994;0,5103;0,711966666666667;0,818233333333333;0,559
"3";1998;0,142766666666667;0,527833333333333;0,544966666666667;0,259533333333333;0,1434
"4";1999;0,434666666666667;0,698266666666667;0,6921;0,395733333333333;0,574633333333333
"5";2000;0,484433333333333;0,712933333333333;0,632366666666667;0,817966666666667;0,8255
"6";2001;0,235233333333333;0,6113;0,676933333333333;0,537166666666667;0,265266666666667
"7";2002;0,358933333333333;0,683666666666667;0,702166666666667;0,741466666666667;0,745966666666667
"8";2003;0,554433333333333;0,0557666666666667;0,536066666666667;0,716866666666667;0,130733333333333
"9";2004;0,621566666666667;0,130633333333333;0,7092;0,815466666666667;0,464
"10";2005;0,0755333333333333;0,0493333333333333;0,720066666666667;0,8248;0,6715
"11";2006;0,0388;0,4554;0,592233333333333;0,383;0,790733333333333
"12";2007;0,285733333333333;0,1726;0,7067;0,771133333333333;0,786933333333333
"13";2008;0,6173;0,439666666666667;0,5494;0,2899;0,378866666666667
"14";2009;0,6345;0,293033333333333;0,1977;0,0880666666666667;0,604533333333333
"15";2010;0,7706;0,2237;0,6492;0,233;0,782533333333333
"16";2011;0,488866666666667;0,685333333333333;0,123733333333333;0,7799;0,0903666666666667
"17";2012;0,636033333333333;0,61;0,352033333333333;0,328533333333333;0,4649
"18";2013;0,200766666666667;0,4607;0,6191;0,785633333333333;0,5453
"19";2014;0,724433333333333;0,423;0,704533333333333;0,7923;0,441766666666667
"20";2015;0,5234;0,340566666666667;0,1058;0,0469;0,5638
"21";2016;0,5888;0,655266666666667;0,710666666666667;0,624233333333333;0,0431333333333333
"22";2017;0,78;0,412833333333333;0,675866666666667;0,205833333333333;0,801666666666667
"23";2018;0,508733333333333;0,6902;0,627266666666667;0,200333333333333;0,633866666666667
"24";2019;0,665666666666667;0,5384;0,6734;0,247033333333333;0,8219
