"Parameter";"Mean";"SD";"Naive SE";"Time-series SE";"2.5%";"25%";"50%";"75%";"97.5%"
"Alpha1[1]";-1,13011850823477;0,205564962915301;0,00118682986675105;0,00119244738978186;-1,52063982258733;-1,26968933156841;-1,13594939180689;-0,995145653211189;-0,711295797026176
"Alpha1[2]";-2,42762021690927;0,0792137188796527;0,000457340619186788;0,000454277831133246;-2,58465479939273;-2,47999813476138;-2,42779425973432;-2,37417848104661;-2,27207402615082
"Alpha1[3]";-2,44559190215474;0,122628001696167;0,000707993097894678;0,000716577123536848;-2,68719436357182;-2,52802224184848;-2,44555964416482;-2,36236948460178;-2,20476833196518
"Alpha1[4]";-1,67964149122157;0,165927670746223;0,000957983853713394;0,000957330454443755;-1,99736443829653;-1,79207677757807;-1,68243950201121;-1,56968250967128;-1,34795672812038
"Alpha1[5]";-1,82370928925738;0,127106134759018;0,000733847611187718;0,000733055866005937;-2,06674173981513;-1,90976825598333;-1,82545590067221;-1,73873513305665;-1,57027985646864
"Alpha1[6]";-2,58190882356313;0,101284113203828;0,000584764100228625;0,000582567359410355;-2,7802814167745;-2,65055612494949;-2,58272250930174;-2,51358054099168;-2,38380998723696
"Alpha1[7]";-0,958387484367931;0,145831748465138;0,000841959992327411;0,000852247614121534;-1,23389085288446;-1,05829688237587;-0,961227143152194;-0,861919982436751;-0,663900240797921
"Alpha1[8]";-1,79756825780342;0,0667355327458322;0,000385297777953193;0,000385502926771539;-1,93129736134477;-1,84130835974491;-1,79666968180346;-1,75279284013305;-1,66910291965576
"Alpha1[9]";-2,26884138945412;0,0725629161201963;0,000418942191551796;0,000418773003770309;-2,4120203490711;-2,31734272241506;-2,26881047051938;-2,21999993694538;-2,12654224582684
"Alpha1[10]";-2,09224621413932;0,0735202792605356;0,000424469530219667;0,000424429508087225;-2,23835206790993;-2,14058518102655;-2,09156334254507;-2,04301971788012;-1,94914329565383
"Alpha1[11]";-2,13519817120677;0,101732115183972;0,000587350640866962;0,000587349743332303;-2,33510417898518;-2,20364098635876;-2,13546263372101;-2,06683682618782;-1,9371928078602
"Alpha1[12]";-2,57802752905938;0,0946746251528455;0,000546604203174223;0,00053696637901014;-2,76548941348112;-2,64141983554334;-2,57795111006187;-2,51405360447266;-2,39100052426266
"Alpha1[13]";-3,11833686379403;0,11100276776385;0,000640874778492525;0,000643636731367317;-3,33610679453958;-3,19301976098428;-3,1191963665642;-3,04327144505695;-2,89971374451509
"Alpha1[14]";-2,21920571099622;0,0772720592275334;0,000446130441958531;0,000445460725245972;-2,37023281920864;-2,27151169842992;-2,21920848599567;-2,16759420376106;-2,06825070030493
"Alpha1[15]";-2,45739902314541;0,0891482500722294;0,000514697661769857;0,00051391688964196;-2,62983033770485;-2,51739730056811;-2,45851845596558;-2,3977504865378;-2,28020030159578
"Alpha1[16]";-2,53870031007761;0,127884262853618;0,000738340135836531;0,000735277563767126;-2,79014042597184;-2,62499665593306;-2,53918370116971;-2,45262356150495;-2,28753080453201
"Alpha1[17]";-1,87915870290377;0,129915120412532;0,000750065297419782;0,000743150864648879;-2,13177243043141;-1,96778379347612;-1,87984439810864;-1,7917473745549;-1,62153765924533
"Alpha1[18]";-1,75295349079845;0,176094802789763;0,00101668381793564;0,00100612612731162;-2,09549663227587;-1,87273549956688;-1,75571515356305;-1,63518491777547;-1,40279214212592
"Alpha1[19]";-2,3540149457789;0,0907739973638627;0,000524083918134445;0,000524105010128881;-2,53153457581333;-2,41548070058089;-2,35413644405219;-2,2931969460761;-2,17580762805827
"Alpha1[20]";-1,65956649052687;0,112265918931355;0,000648167585158385;0,00064703993167795;-1,87694884683317;-1,73570820712336;-1,65962054293577;-1,58405491470121;-1,43594466767863
"Alpha1[21]";-1,68764775809175;0,0766548007663436;0,000442566698571256;0,000442566911613294;-1,83601515635016;-1,7394013324056;-1,68878228792913;-1,63647297073361;-1,53552415675426
"Alpha1[22]";-2,47617461471061;0,120269588436475;0,000694376792591245;0,000687068494902559;-2,71058267606703;-2,5575604031614;-2,47696710624862;-2,39509213573742;-2,23963207234748
"Alpha1[23]";-2,42279998732787;0,145714541782904;0,000841283299232024;0,00084359180653958;-2,70612846461726;-2,520452250851;-2,42295112770371;-2,32617979306692;-2,13510571683216
"Alpha1[24]";-1,90441051124402;0,112729686758123;0,000650845149954647;0,000652143912264702;-2,12593158562819;-1,97928610295266;-1,90519580895779;-1,8291181227538;-1,68349324065316
"Alpha2[1, 1]";1,57621420722882;0,263633456156191;0,00152208846879168;0,00154563691650962;1,07213851390702;1,39651643969039;1,57191414800009;1,75414513825299;2,10107802578059
"Alpha2[2, 1]";0,536515123999434;0,207943162982892;0,00120056041124315;0,00119875654799729;0,120627902936032;0,399471056730914;0,538124018419729;0,677825559577206;0,940238322619327
"Alpha2[3, 1]";0,892112061789377;0,23884641770171;0,0013789804355506;0,00138395842115412;0,420649706212539;0,731010541014065;0,890909462866666;1,05227209210658;1,35957991597264
"Alpha2[4, 1]";1,27695691544539;0,263038292016687;0,00151865228703013;0,0015205843595278;0,774259629204977;1,09865958728043;1,26983901667604;1,45041844178731;1,81000602248453
"Alpha2[5, 1]";1,31358983135823;0,287411705566134;0,00165937225576857;0,00162648846125241;0,77005369266803;1,11942608323672;1,30757225354794;1,50352321517782;1,8924798955895
"Alpha2[6, 1]";1,41043642303429;0,196361410380437;0,001133693131416;0,0011369906204409;1,03086307552255;1,27786354585597;1,40819953275688;1,54048950457383;1,80284551368028
"Alpha2[7, 1]";0,557079307573137;0,186280422278047;0,00107549051946988;0,00106704367565117;0,188807052626468;0,432008999776265;0,557293534005228;0,682895640858532;0,920222333339641
"Alpha2[8, 1]";1,23416812341705;0,147721984132785;0,000852873273042893;0,000857438599787953;0,946604575433779;1,13400387371364;1,23262989537859;1,33322483407204;1,52328837543834
"Alpha2[9, 1]";0,448080631618759;0,185034367270225;0,00106829641752796;0,00106150736990272;0,0856942509202965;0,324365527858709;0,448362703480802;0,571580723581864;0,81332718403446
"Alpha2[10, 1]";1,23966215315422;0,167339697226889;0,000966136192400549;0,000972187546679908;0,912715895028459;1,1253491604206;1,2392753805822;1,35248029987726;1,56837778992325
"Alpha2[11, 1]";1,03285538382519;0,226415106784458;0,00130720822850605;0,0013004639739104;0,60858743012532;0,877015413555161;1,02561675980948;1,1779765283584;1,50138493879321
"Alpha2[12, 1]";0,409087080531398;0,198190372318483;0,00114425264808868;0,0011547170810662;0,020709731197756;0,27537912069662;0,40804096094531;0,541242848800458;0,800941716551484
"Alpha2[13, 1]";0,515481840302891;0,216562855795267;0,00125032623089872;0,0012551350956036;0,0899961592760038;0,369836307379434;0,5172186497875;0,661282602454022;0,938299041980161
"Alpha2[14, 1]";0,524394061550824;0,153417506164382;0,00088575638482407;0,000882343483760932;0,218984892733462;0,421449434840202;0,524677302210782;0,627329472946893;0,825059710886361
"Alpha2[15, 1]";-0,0829631971426573;0,224011542091091;0,00129333124127874;0,00129914327516127;-0,530577509812529;-0,231998759474039;-0,0786282587645915;0,0696288523211656;0,346564201406688
"Alpha2[16, 1]";0,600530054683831;0,228331227942175;0,00131827095916812;0,00132306904381216;0,145535016165855;0,449695270429574;0,601587235028823;0,75393219333805;1,04468381794777
"Alpha2[17, 1]";0,741067659179302;0,168373493233565;0,000972104816427966;0,000951426821550098;0,409615089717959;0,626886729902913;0,740960478519431;0,854491428221884;1,07322942180353
"Alpha2[18, 1]";0,479938801688003;0,167110225773262;0,000964811338345321;0,000955187874461499;0,145267822851181;0,36924689390749;0,481980074353399;0,59365634260402;0,801068743135427
"Alpha2[19, 1]";1,10586349869038;0,175752323921824;0,00101470651526967;0,0010186290475293;0,763643905426727;0,987649153500645;1,10541559681463;1,22414412634338;1,45100589932978
"Alpha2[20, 1]";0,566924817500445;0,156074554518364;0,000901096860648283;0,000894499668239823;0,255641962850727;0,463756998202519;0,56844229750782;0,672146260642053;0,868496569258526
"Alpha2[21, 1]";0,801829817212299;0,2002299029636;0,00115602788375847;0,00116193356611009;0,405480799438348;0,669043428859361;0,80212029122732;0,935963318637723;1,19074810571768
"Alpha2[22, 1]";1,13128090431949;0,27750291466148;0,00160216382480711;0,00161498133780729;0,614350052628093;0,94131196645802;1,12542682212543;1,3109970154165;1,69509329904595
"Alpha2[23, 1]";0,834506304452013;0,356752090657459;0,00205970915575046;0,00204986694303686;0,142118599837233;0,597396956434638;0,832462783162394;1,06587748549217;1,54989356106317
"Alpha2[24, 1]";1,28560323888295;0,331465325466902;0,00191371594885343;0,00190198473664581;0,674864275135288;1,05782002179521;1,26711798198217;1,4974832547432;1,97917759477324
"Alpha2[1, 2]";3,52814701168655;0,538611322326296;0,00310967391933667;0,00315433079539904;2,5940912213166;3,15180221246885;3,48156321169972;3,8538062474411;4,70804576772841
"Alpha2[2, 2]";3,30944754441485;0,539849560661492;0,00311682289169813;0,00311092918994951;2,38944900830262;2,93051474619586;3,26202991947683;3,63560756590203;4,49470944736246
"Alpha2[3, 2]";2,61593213200502;0,534959176935247;0,00308858824809026;0,00310356963002358;1,63094950349206;2,25099472446189;2,59112273242046;2,9526075866771;3,73939690885548
"Alpha2[4, 2]";2,65745259666141;0,605896153569288;0,00349814307364187;0,00353250791099371;1,55451693412858;2,24119399982625;2,62709043806634;3,0324232718022;3,95103918914315
"Alpha2[5, 2]";3,47869997853157;0,624809172320787;0,00360733743831554;0,00360743552439666;2,43212983630619;3,04344237856211;3,41848646161683;3,84260555306451;4,87976320252633
"Alpha2[6, 2]";3,21829408716151;0,483077698696678;0,00278905039382032;0,00278728000630937;2,36482986148222;2,88321147133855;3,18704219005707;3,51783170530772;4,27435026130112
"Alpha2[7, 2]";2,56430549723517;0,531566058776658;0,00306899807126772;0,00303431275254407;1,59787353631109;2,19314599395416;2,53843190029119;2,90651256058407;3,67312140826511
"Alpha2[8, 2]";3,32550709073022;0,425236788717779;0,00245510574435542;0,00250317903135978;2,58397807674048;3,02676887309746;3,29180096802631;3,5935758398471;4,24007660073447
"Alpha2[9, 2]";2,61174791355475;0,413481592908126;0,00238723708970462;0,00238280046752582;1,86665654332456;2,32037597001008;2,59179749787749;2,87751971703714;3,4877670142248
"Alpha2[10, 2]";3,44174590272734;0,431109306195171;0,00248901073981934;0,00250368496872261;2,68922770834378;3,13808744856964;3,40753861249013;3,71404673814651;4,37920908157208
"Alpha2[11, 2]";2,09429535951566;0,405164917100075;0,00233922073953921;0,00237736635639342;1,3568198954523;1,81030654387755;2,07395106024866;2,35497046753479;2,94626189560132
"Alpha2[12, 2]";1,35763929266703;0,346838832798158;0,00200247493481432;0,00201071575870376;0,710986803543979;1,11874487483183;1,34667341248837;1,58413497691347;2,07101669830133
"Alpha2[13, 2]";2,67678344038641;0,520063827993712;0,00300258991087957;0,00300275443668887;1,73755734927477;2,32024678938208;2,64889019733949;2,99881216626224;3,77916549089372
"Alpha2[14, 2]";2,05660867655159;0,327850684815024;0,00189284681131957;0,00189886416218205;1,44119693825999;1,83023629590244;2,04717958138695;2,27097767388452;2,72319823334167
"Alpha2[15, 2]";2,13290100393366;0,392867270447919;0,00226822024348899;0,0022853404246713;1,39974478628448;1,86247060435584;2,11905705245038;2,39074095264966;2,94073908728182
"Alpha2[16, 2]";1,97985101245341;0,382365170188124;0,00220758633936851;0,00219888694452142;1,26473173245173;1,7149534409897;1,96777698846768;2,2285096429705;2,76331116215647
"Alpha2[17, 2]";2,38518918633494;0,399396814515968;0,00230591858374273;0,00230215026574874;1,65551194003624;2,10543654589072;2,3683949438807;2,64449109011195;3,22193058154818
"Alpha2[18, 2]";2,68073087685673;0,366165002298192;0,00211405462644681;0,00209660817947484;2,00579969167768;2,42973962213861;2,66590879356641;2,91457575491652;3,44853947769704
"Alpha2[19, 2]";2,85146453570246;0,381825981369045;0,00220447333127011;0,00222241818648516;2,15838461645333;2,588212891818;2,82898282981792;3,09934624313494;3,64741892347234
"Alpha2[20, 2]";2,78940536020881;0,410348872171108;0,00236915031809648;0,00238862144051198;2,04732267126836;2,50619326527451;2,76546199354927;3,0480846114634;3,66547326877161
"Alpha2[21, 2]";3,21349982113987;0,444202790589444;0,00256460600721598;0,00257806259380957;2,42320316149303;2,9033341470206;3,18535402256161;3,49024096316092;4,16199083101452
"Alpha2[22, 2]";2,18913471166167;0,426723199492589;0,00246368754096505;0,00249701153443326;1,40986350597178;1,8926987315571;2,17123178010696;2,46128972277178;3,08959798033397
"Alpha2[23, 2]";2,18737880091559;0,579355899013174;0,00334491284251854;0,00334502765031332;1,09533619992161;1,7917221184258;2,17264558174088;2,56652707261336;3,36812543035592
"Alpha2[24, 2]";2,79462602215215;0,52218094060696;0,0030148130662512;0,00295833979282936;1,8974443784824;2,43332062160462;2,75167195705458;3,10552531488911;3,95204333470437
